Time;Crosshead separation;Load;Extensometer elongation
38,968;3,92708;47,97122;0,89425
39,068;3,92848;47,97556;0,89669
39,168;3,92988;47,9783;0,89918
39,268;3,93132;47,98078;0,90168
39,368;3,93268;47,98099;0,90425
39,468;3,93412;47,97914;0,90663
39,568;3,93548;47,97931;0,90915
39,668;3,93688;47,9802;0,91166
39,768;3,93828;47,97936;0,91411
39,868;3,93964;47,9786;0,9167
39,968;3,94096;47,97443;0,91925
40,068;3,94232;47,97104;0,92171
40,168;3,94364;47,96854;0,92427
40,268;3,94496;47,96604;0,92672
40,368;3,94632;47,96445;0,92924
40,468;3,94764;47,96061;0,93175
40,568;3,94896;47,95671;0,9343
40,668;3,95024;47,95371;0,93677
40,768;3,9516;47,95095;0,93923
40,868;3,95292;47,95014;0,94175
40,968;3,95428;47,94797;0,94419
41,068;3,95568;47,94966;0,94663
41,168;3,957;47,95074;0,94916
41,268;3,95836;47,94782;0,95164
41,368;3,95972;47,9457;0,95412
41,468;3,96108;47,94687;0,95656
41,568;3,96244;47,94784;0,95909
41,668;3,96384;47,94675;0,96155
41,768;3,9652;47,94751;0,96413
41,868;3,96652;47,94442;0,96664
41,968;3,96788;47,94318;0,96913
42,068;3,96928;47,94374;0,97161
42,168;3,97072;47,94635;0,97412
42,268;3,97216;47,94918;0,97663
42,368;3,97356;47,9504;0,97926
42,468;3,975;47,9528;0,98179
42,568;3,9764;47,95385;0,98434
42,668;3,9778;47,95306;0,98688
42,768;3,97912;47,95091;0,98946
42,868;3,98044;47,94724;0,992
42,968;3,98176;47,94447;0,9945
43,068;3,98308;47,93997;0,99702
43,168;3,98436;47,93669;0,99954
43,268;3,98564;47,93293;1,00206
43,368;3,98692;47,92851;1,00459
43,468;3,98824;47,92589;1,00701
43,568;3,98952;47,92261;1,00946
43,668;3,99084;47,92041;1,01204
43,768;3,99216;47,91714;1,01449
43,868;3,99344;47,91337;1,01703
43,968;3,99476;47,91117;1,01942
44,068;3,99608;47,91171;1,02183
44,168;3,99744;47,91421;1,02436
44,268;3,99884;47,91563;1,02684
44,368;4,00024;47,91703;1,02931
44,468;4,00164;47,91999;1,03184
44,568;4,00304;47,92191;1,03428
44,668;4,00448;47,92515;1,03683
44,768;4,00592;47,92763;1,03934
44,868;4,00732;47,92854;1,04196
44,968;4,00872;47,93174;1,04443
45,068;4,01012;47,93237;1,04693
45,168;4,01192;47,93447;1,04778
45,268;4,0156;48,0208;1,04867
45,368;4,01856;48,08509;1,0524
45,468;4,02068;48,10272;1,05619
45,568;4,02196;48,07923;1,05991
45,668;4,02268;48,03329;1,06319
45,768;4,02308;47,97943;1,06621
45,868;4,0234;47,92396;1,06882
45,968;4,02376;47,87249;1,07108
46,068;4,02428;47,83298;1,07321
46,168;4,02508;47,81072;1,07515
46,268;4,0262;47,80509;1,07713
46,368;4,02756;47,81504;1,07921
46,468;4,02916;47,83866;1,0813
46,568;4,03104;47,86985;1,08359
46,668;4,03292;47,90028;1,08606
46,768;4,0348;47,92928;1,08862
46,868;4,0366;47,94891;1,09135
46,968;4,03828;47,96157;1,09415
47,068;4,0398;47,96548;1,09693
47,168;4,04116;47,96006;1,09969
47,268;4,0424;47,95092;1,10239
47,368;4,04352;47,9368;1,10503
47,468;4,04464;47,92413;1,10759
47,568;4,04576;47,91063;1,1101
47,668;4,04688;47,89948;1,1125
47,768;4,04804;47,891;1,11492
47,868;4,0492;47,88444;1,11728
47,968;4,05052;47,88462;1,11961
48,068;4,05188;47,88901;1,122
48,168;4,05328;47,89454;1,12442
48,268;4,05464;47,89969;1,12688
48,368;4,05604;47,90184;1,12938
48,468;4,05748;47,90647;1,13178
48,568;4,05892;47,91261;1,1343
48,668;4,06032;47,9151;1,13685
48,768;4,06168;47,91699;1,1394
48,868;4,06296;47,91355;1,14197
48,968;4,06424;47,91121;1,14445
49,068;4,06552;47,90716;1,14693
49,168;4,0668;47,90377;1,14945
49,268;4,06804;47,90168;1,15192
49,368;4,06932;47,89922;1,15438
49,468;4,0706;47,89757;1,15683
49,568;4,07196;47,89884;1,15924
49,668;4,07328;47,90148;1,16169
49,768;4,07468;47,90451;1,16407
49,868;4,07604;47,90876;1,16666
49,968;4,07744;47,91199;1,16908
50,068;4,0788;47,91454;1,1716
50,168;4,08016;47,91621;1,17414
50,268;4,08152;47,91548;1,17665
50,368;4,08284;47,91272;1,17924
50,468;4,08408;47,90917;1,18172
50,568;4,08536;47,90623;1,18416
50,668;4,08664;47,90498;1,18659
50,768;4,08796;47,90404;1,18906
50,868;4,08928;47,9034;1,19149
50,968;4,09064;47,90278;1,19392
51,068;4,092;47,90733;1,19635
51,168;4,09344;47,91379;1,19878
51,268;4,09488;47,92045;1,20131
51,368;4,09632;47,92555;1,20385
51,468;4,09776;47,93001;1,20638
51,568;4,09916;47,92885;1,2089
51,668;4,1006;47,93191;1,21155
51,768;4,10196;47,93127;1,21405
51,868;4,10332;47,93132;1,21662
51,968;4,10468;47,93124;1,21925
52,068;4,10596;47,92925;1,22184
52,168;4,10728;47,92458;1,22431
52,268;4,1086;47,92143;1,22675
52,368;4,10992;47,92186;1,22935
52,468;4,1112;47,91936;1,23191
52,568;4,11248;47,9178;1,23437
52,668;4,11376;47,9163;1,23683
52,768;4,11508;47,91365;1,23931
52,868;4,11648;47,91572;1,24177
52,968;4,11784;47,9202;1,24424
53,068;4,1192;47,92443;1,24672
53,168;4,12056;47,92608;1,24929
53,268;4,12192;47,92446;1,25175
53,368;4,12328;47,92524;1,25428
53,468;4,1246;47,92688;1,25669
53,568;4,12592;47,92847;1,25927
53,668;4,12724;47,92471;1,26176
53,768;4,12856;47,9236;1,26423
53,868;4,12988;47,92301;1,26667
53,968;4,13124;47,92584;1,26917
54,068;4,13256;47,92604;1,27166
54,168;4,13392;47,92804;1,27418
54,268;4,13528;47,92954;1,27666
54,368;4,13668;47,92917;1,27914
54,468;4,13808;47,93405;1,28163
54,568;4,13948;47,93661;1,2842
54,668;4,14088;47,93762;1,2867
54,768;4,14228;47,94047;1,28919
54,868;4,14368;47,94183;1,29185
54,968;4,14504;47,94084;1,29437
55,068;4,14636;47,94101;1,29687
55,168;4,14764;47,93828;1,2994
55,268;4,14892;47,93541;1,30192
55,368;4,1502;47,93203;1,30443
55,468;4,15148;47,92887;1,30684
55,568;4,1528;47,92788;1,30925
55,668;4,15412;47,93011;1,31177
55,768;4,15544;47,92859;1,31431
55,868;4,15668;47,92608;1,31675
55,968;4,15804;47,92738;1,3191
56,068;4,15944;47,93077;1,32158
56,168;4,16084;47,93489;1,3241
56,268;4,1622;47,93732;1,32656
56,368;4,16356;47,93839;1,32911
56,468;4,16496;47,9423;1,33163
56,568;4,1664;47,94544;1,33415
56,668;4,1678;47,94729;1,33665
56,768;4,1692;47,95029;1,3392
56,868;4,1706;47,95243;1,34183
56,968;4,17196;47,95401;1,34433
57,068;4,17328;47,95268;1,34687
57,168;4,17464;47,95221;1,34932
57,268;4,176;47,95331;1,35187
57,368;4,17732;47,95206;1,35444
57,468;4,1786;47,94992;1,35691
57,568;4,17992;47,9481;1,35936
57,668;4,18128;47,95011;1,36177
57,768;4,18264;47,95201;1,36424
57,868;4,18396;47,95261;1,36683
57,968;4,18532;47,95287;1,36917
58,068;4,18668;47,95447;1,37168
58,168;4,18804;47,95572;1,37417
58,268;4,1894;47,95822;1,37672
58,368;4,1908;47,95799;1,37918
58,468;4,19216;47,96062;1,38172
58,568;4,19352;47,96008;1,38422
58,668;4,1948;47,96008;1,38678
58,768;4,19608;47,95822;1,3892
58,868;4,19748;47,95786;1,39165
58,968;4,1988;47,96088;1,39421
59,068;4,20008;47,96009;1,3967
59,168;4,20144;47,95943;1,39912
59,268;4,2028;47,96178;1,40159
59,368;4,20412;47,96188;1,40415
59,468;4,20544;47,96104;1,4067
59,568;4,20672;47,95727;1,40924
59,668;4,20804;47,95464;1,41173
59,768;4,20932;47,95289;1,41421
59,868;4,2106;47,95167;1,41676
59,968;4,21188;47,94833;1,41926
60,068;4,2132;47,94688;1,42174
60,168;4,21444;47,94456;1,42426
60,268;4,21572;47,94189;1,42677
60,368;4,21696;47,93672;1,42926
60,468;4,21824;47,93276;1,43174
60,568;4,21944;47,92774;1,43436
60,668;4,22064;47,91977;1,4369
60,768;4,2218;47,91126;1,43943
60,868;4,22296;47,90184;1,44191
60,968;4,22412;47,89257;1,44436
61,068;4,22528;47,88553;1,44696
61,168;4,2264;47,87529;1,44957
61,268;4,22752;47,86335;1,45203
61,368;4,22868;47,8523;1,45448
61,468;4,2298;47,84304;1,45708
61,568;4,23088;47,83027;1,45969
61,668;4,23192;47,81645;1,46224
61,768;4,23296;47,8008;1,46476
61,868;4,234;47,78767;1,46737
61,968;4,23508;47,77278;1,46986
62,068;4,23616;47,7608;1,47238
62,168;4,2372;47,74712;1,47498
62,268;4,2382;47,72976;1,4776
62,368;4,23908;47,71034;1,48022
62,468;4,24008;47,69353;1,4826
62,568;4,24108;47,6789;1,48508
62,668;4,24208;47,66425;1,48758
62,768;4,24304;47,64871;1,49017
62,868;4,244;47,63236;1,49263
62,968;4,24504;47,61807;1,49506
63,068;4,24608;47,60697;1,49755
63,168;4,24704;47,59431;1,50009
63,268;4,24808;47,5801;1,50247
63,368;4,24912;47,56958;1,50496
63,468;4,2502;47,56084;1,50735
63,568;4,25132;47,55167;1,50979
63,668;4,25248;47,54758;1,51222
63,768;4,25368;47,54508;1,51467
63,868;4,25484;47,54061;1,51719
63,968;4,25596;47,53366;1,51971
64,068;4,25708;47,52846;1,52217
64,168;4,25824;47,52254;1,52458
64,268;4,25948;47,51925;1,52704
64,368;4,26064;47,51386;1,52961
64,468;4,26184;47,51244;1,53205
64,568;4,26312;47,51401;1,53439
64,668;4,26448;47,51905;1,53686
64,768;4,26584;47,52404;1,53935
64,868;4,2672;47,52894;1,54186
64,968;4,2686;47,5359;1,54431
65,068;4,27004;47,54072;1,54674
65,16801;4,27152;47,55118;1,54928
65,268;4,273;47,5634;1,55178
65,368;4,27452;47,57377;1,55432
65,468;4,276;47,58593;1,55683
65,568;4,27748;47,59276;1,5594
65,66801;4,27888;47,60109;1,56189
65,76801;4,28036;47,61064;1,56432
65,868;4,28192;47,62294;1,56676
65,968;4,28348;47,63714;1,56923
66,068;4,28504;47,65406;1,5718
66,16801;4,2866;47,66869;1,57427
66,26801;4,2882;47,68517;1,57673
66,368;4,28984;47,69923;1,57919
66,468;4,29144;47,71796;1,58175
66,568;4,29304;47,73493;1,58423
66,66801;4,29468;47,75062;1,58675
66,76801;4,29632;47,76621;1,58924
66,868;4,29792;47,78143;1,59182
66,968;4,2996;47,79851;1,59423
67,068;4,30128;47,81885;1,59671
67,16801;4,303;47,83987;1,59925
67,26801;4,30468;47,85817;1,60185
67,368;4,30636;47,87465;1,60434
67,468;4,30804;47,8939;1,60677
67,568;4,30972;47,91181;1,60925
67,66801;4,3114;47,93018;1,6119
67,76801;4,31304;47,9443;1,61433
67,868;4,31468;47,95842;1,61679
67,968;4,31636;47,97627;1,61918
68,068;4,31804;47,99353;1,62163
68,16801;4,31976;48,01141;1,62409
68,26801;4,3214;48,02829;1,62658
68,368;4,32312;48,04402;1,62894
68,468;4,32476;48,06019;1,63138
68,568;4,3264;48,07551;1,63382
68,66801;4,32804;48,09063;1,63622
68,76801;4,32976;48,10765;1,63858
68,868;4,33148;48,12578;1,641
68,968;4,33324;48,14541;1,64346
69,068;4,335;48,16463;1,64584
69,16801;4,3368;48,18524;1,64829
69,26801;4,3386;48,20499;1,65077
69,368;4,34036;48,22291;1,65341
69,468;4,34212;48,23755;1,65587
69,568;4,34388;48,25344;1,65828
69,66801;4,34564;48,2708;1,66072
69,76801;4,34744;48,28759;1,66324
69,868;4,34916;48,30137;1,66578
69,968;4,35088;48,3146;1,66822
70,068;4,35264;48,32986;1,67065
70,16801;4,35448;48,34706;1,67316
70,26801;4,35628;48,36281;1,6756
70,368;4,35816;48,37984;1,67807
70,468;4,36004;48,39752;1,68061
70,568;4,36196;48,41541;1,68318
70,66801;4,36388;48,43234;1,68574
70,76801;4,36584;48,45061;1,68824
70,868;4,3678;48,47034;1,69081
70,968;4,36968;48,48513;1,69352
71,068;4,37152;48,49725;1,69612
71,16801;4,37336;48,50773;1,69862
71,26801;4,3752;48,52029;1,70112
71,368;4,37704;48,53216;1,70364
71,468;4,37884;48,54162;1,70619
71,568;4,38056;48,55131;1,70868
71,66801;4,38236;48,56099;1,71112
71,76801;4,38416;48,57334;1,71353
71,868;4,38596;48,58469;1,71607
71,968;4,38776;48,59377;1,71843
72,068;4,38956;48,60592;1,72093
72,16801;4,39144;48,61825;1,72331
72,26801;4,39332;48,63254;1,72582
72,368;4,39524;48,64777;1,72826
72,468;4,3972;48,66155;1,7307
72,568;4,39916;48,67705;1,73326
72,66801;4,40112;48,69053;1,73583
72,76801;4,40308;48,70402;1,73833
72,868;4,40508;48,71782;1,74079
72,968;4,40704;48,73067;1,74338
73,068;4,40892;48,74063;1,74591
73,16801;4,41076;48,74806;1,74847
73,26801;4,4126;48,75462;1,75094
73,368;4,41448;48,7636;1,75329
73,468;4,4164;48,77474;1,75574
73,568;4,41828;48,78448;1,75826
73,66801;4,42024;48,79554;1,7607
73,76801;4,4222;48,80839;1,76312
73,868;4,42416;48,82136;1,76567
73,968;4,4262;48,83352;1,76815
74,068;4,4282;48,84667;1,77059
74,16801;4,43032;48,86089;1,77309
74,26801;4,43232;48,8732;1,7757
74,368;4,43432;48,88521;1,77828
74,468;4,43632;48,89035;1,7808
74,568;4,43832;48,90016;1,78321
74,66801;4,44024;48,91028;1,78576
74,76801;4,4422;48,91802;1,78829
74,868;4,44408;48,9221;1,79077
74,968;4,44596;48,92808;1,79318
75,068;4,44792;48,93813;1,79558
75,16801;4,44996;48,94651;1,79806
75,26801;4,452;48,95926;1,80051
75,368;4,454;48,97152;1,80292
75,468;4,45608;48,98117;1,80541
75,568;4,45812;48,99223;1,80794
75,66801;4,46016;49,00228;1,81042
75,76801;4,46224;49,01093;1,81285
75,868;4,46428;49,02354;1,81535
75,968;4,46636;49,03264;1,81789
76,068;4,46844;49,04242;1,82037
76,16801;4,47052;49,0525;1,82287
76,26801;4,47256;49,06217;1,82532
76,368;4,47464;49,07125;1,82787
76,468;4,4766;49,07722;1,83041
76,568;4,47864;49,08338;1,8328
76,66801;4,48068;49,09195;1,83519
76,76801;4,48272;49,10288;1,83769
76,868;4,4848;49,10937;1,84016
76,968;4,48688;49,11874;1,84263
77,068;4,489;49,1284;1,84509
77,16801;4,49116;49,14019;1,84759
77,26801;4,4934;49,15307;1,85002
77,368;4,49568;49,16758;1,85257
77,468;4,498;49,18166;1,85512
77,568;4,50024;49,19245;1,85775
77,66801;4,50244;49,20133;1,86037
77,76801;4,5046;49,2077;1,86289
77,868;4,5068;49,21509;1,86534
77,968;4,50896;49,22142;1,86788
78,068;4,51108;49,22818;1,87045
78,16801;4,51324;49,23396;1,87281
78,26801;4,516;49,2456;1,87316
78,368;4,51968;49,31759;1,87552
78,468;4,52284;49,35713;1,87879
78,568;4,52552;49,36742;1,8821
78,66801;4,5278;49,35965;1,88516
78,76801;4,52976;49,34458;1,888
78,868;4,53164;49,32668;1,89077
78,968;4,53344;49,31254;1,89325
79,068;4,53536;49,30518;1,89566
79,16801;4,53732;49,30326;1,898
79,26801;4,53932;49,30634;1,90037
79,368;4,5414;49,31171;1,90274
79,468;4,54356;49,32203;1,90503
79,568;4,54584;49,33567;1,90737
79,66801;4,54808;49,34959;1,90987
79,76801;4,55036;49,36182;1,91231
79,868;4,55268;49,37404;1,91481
79,968;4,555;49,38586;1,91726
80,068;4,55736;49,39825;1,91979
80,16801;4,55972;49,41063;1,92236
80,26801;4,56204;49,42053;1,92492
80,368;4,56444;49,43098;1,9274
80,468;4,5668;49,44026;1,93
80,568;4,56908;49,44787;1,93255
80,66801;4,57132;49,45267;1,9351
80,76801;4,57352;49,45643;1,93757
80,868;4,57576;49,46213;1,94009
80,968;4,578;49,4677;1,94257
81,068;4,58024;49,47321;1,94496
81,16801;4,5826;49,48235;1,94739
81,26801;4,58496;49,49325;1,94984
81,368;4,58732;49,5016;1,95237
81,468;4,58968;49,5112;1,95484
81,568;4,59208;49,52236;1,95731
81,66801;4,59452;49,53137;1,95978
81,76801;4,59696;49,54419;1,96236
81,868;4,59936;49,55358;1,96491
81,968;4,60172;49,56009;1,96742
82,068;4,60408;49,56498;1,96989
82,16801;4,60644;49,57453;1,97241
82,26801;4,60876;49,58172;1,97488
82,368;4,61108;49,58504;1,97733
82,468;4,61348;49,5952;1,97978
82,568;4,61584;49,60357;1,9823
82,66801;4,61816;49,60921;1,98477
82,76801;4,62056;49,61855;1,98721
82,868;4,623;49,62891;1,98965
82,968;4,62552;49,6402;1,99216
83,068;4,628;49,65267;1,99472
83,16801;4,63044;49,65952;1,9972
83,26801;4,63288;49,66804;1,99972
83,368;4,63536;49,67657;2,00222
83,468;4,6378;49,6835;2,00477
83,568;4,64024;49,69014;2,00724
83,66801;4,64272;49,69945;2,00969
83,76801;4,6452;49,71053;2,01219
83,868;4,64772;49,71974;2,01479
83,968;4,65016;49,72607;2,0173
84,068;4,65256;49,7325;2,0198
84,16801;4,65504;49,74012;2,02224
84,26801;4,65748;49,7478;2,02477
84,368;4,65992;49,75609;2,0272
84,468;4,6624;49,76399;2,0297
84,568;4,66496;49,77368;2,03217
84,66801;4,66748;49,78452;2,03477
84,76801;4,66996;49,7925;2,03724
84,868;4,67248;49,8014;2,03967
84,968;4,67504;49,81003;2,0422
85,068;4,67752;49,81841;2,04475
85,16801;4,68004;49,82499;2,04726
85,26801;4,68256;49,83383;2,04978
85,368;4,68508;49,84224;2,05222
85,468;4,68764;49,85238;2,05469
85,568;4,6902;49,86072;2,05726
85,66801;4,6928;49,87139;2,05976
85,76801;4,6954;49,88101;2,06227
85,868;4,69792;49,8897;2,06481
85,968;4,70044;49,8953;2,06729
86,068;4,70296;49,90327;2,0697
86,16801;4,70552;49,91116;2,07212
86,26801;4,708;49,91819;2,07469
86,368;4,71052;49,92498;2,07711
86,468;4,71304;49,93196;2,07954
86,568;4,71568;49,94251;2,08176
86,66801;4,71924;49,97789;2,0826
86,76801;4,72276;50,02416;2,08567
86,868;4,72588;50,04298;2,08878
86,968;4,72868;50,04629;2,09174
87,068;4,73128;50,04178;2,09454
87,16801;4,73368;50,03287;2,09731
87,26801;4,736;50,02286;2,09988
87,368;4,73828;50,01509;2,10242
87,468;4,7406;50,01302;2,10476
87,568;4,74296;50,01479;2,10716
87,66801;4,74536;50,0196;2,10957
87,76801;4,74784;50,027;2,11196
87,868;4,7504;50,03664;2,11436
87,968;4,75304;50,05281;2,11682
88,068;4,75572;50,06675;2,11935
88,16801;4,75848;50,08245;2,12186
88,26801;4,7612;50,09605;2,12445
88,368;4,76388;50,10716;2,12705
88,468;4,76648;50,11154;2,12964
88,568;4,76908;50,11852;2,13215
88,66801;4,77168;50,12659;2,13466
88,76801;4,77424;50,13226;2,1372
88,868;4,77676;50,13805;2,13974
88,968;4,77924;50,14238;2,14221
89,068;4,7818;50,14646;2,14461
89,16801;4,78436;50,15597;2,14713
89,26801;4,787;50,16487;2,1496
89,368;4,78964;50,17584;2,15204
89,468;4,79232;50,18872;2,15457
89,568;4,795;50,19891;2,15718
89,66801;4,79764;50,2094;2,15973
89,76801;4,80024;50,21427;2,16223
89,868;4,8028;50,22178;2,16471
89,968;4,80536;50,22649;2,16722
90,068;4,80792;50,23319;2,16969
90,16801;4,8104;50,2378;2,17222
90,26801;4,813;50,24304;2,17464
90,368;4,8156;50,25385;2,17706
90,468;4,81828;50,2648;2,17958
90,568;4,82096;50,27485;2,18202
90,66801;4,82368;50,28809;2,18459
90,76801;4,82644;50,29985;2,18713
90,868;4,82912;50,30865;2,1897
90,968;4,83172;50,31595;2,19226
91,068;4,83432;50,32076;2,19475
91,16801;4,83692;50,3264;2,1972
91,26801;4,83944;50,33088;2,19973
91,368;4,842;50,33737;2,20219
91,468;4,84456;50,34291;2,20461
91,568;4,84712;50,34972;2,2071
91,66801;4,84972;50,35787;2,20958
91,76801;4,85236;50,36697;2,212
91,868;4,85504;50,37851;2,21445
91,968;4,85776;50,39099;2,21695
92,068;4,86044;50,40103;2,21952
92,16801;4,86308;50,41016;2,22208
92,26801;4,86572;50,41627;2,22455
92,368;4,86836;50,42434;2,22701
92,468;4,87096;50,43062;2,22953
92,568;4,8736;50,43753;2,23202
92,66801;4,8762;50,44329;2,23453
92,76801;4,8788;50,45007;2,23696
92,868;4,88148;50,46115;2,23945
92,968;4,8842;50,4709;2,24193
93,068;4,88696;50,48379;2,24445
93,16801;4,88976;50,49765;2,24696
93,26801;4,89252;50,50865;2,24956
93,368;4,89524;50,51759;2,25218
93,468;4,89792;50,52222;2,25466
93,568;4,90056;50,52811;2,2572
93,66801;4,90324;50,53524;2,25972
93,76801;4,90588;50,54168;2,26217
93,868;4,90848;50,54685;2,26467
93,968;4,91104;50,55134;2,26714
94,068;4,91364;50,55776;2,2696
94,16801;4,91636;50,56653;2,27194
94,26801;4,91976;50,59019;2,27271
94,368;4,92348;50,64096;2,27562
94,468;4,92692;50,66848;2,27868
94,568;4,92992;50,67487;2,28171
94,66801;4,93256;50,6677;2,28463
94,76801;4,935;50,65486;2,28739
94,868;4,93736;50,64277;2,28992
94,968;4,93968;50,6353;2,29232
95,068;4,94208;50,63147;2,29481
95,16801;4,94456;50,63543;2,29717
95,26801;4,94712;50,64064;2,29958
95,368;4,94972;50,65147;2,30204
95,468;4,95248;50,66584;2,30443
95,568;4,95528;50,67894;2,30692
95,66801;4,958;50,69202;2,3095
95,76801;4,96076;50,70146;2,31206
95,868;4,9634;50,7093;2,31464
95,968;4,966;50,71458;2,31713
96,068;4,9686;50,71783;2,31955
96,16801;4,9712;50,72409;2,32207
96,26801;4,97384;50,732;2,32451
96,368;4,97648;50,74167;2,32703
96,468;4,97912;50,74687;2,32946
96,568;4,98176;50,75603;2,33194
96,66801;4,98444;50,76521;2,33446
96,76801;4,98712;50,77401;2,33697
96,868;4,98984;50,78422;2,33944
96,968;4,99256;50,79271;2,34193
97,06801;4,99524;50,80039;2,34448
97,16801;4,99788;50,80727;2,34699
97,26801;5,00048;50,81323;2,3495
97,368;5,00312;50,81937;2,35191
97,468;5,00576;50,82739;2,3544
97,56801;5,00844;50,83538;2,35687
97,66801;5,01112;50,84312;2,35937
97,76801;5,01384;50,85362;2,36189
97,868;5,01656;50,86364;2,36441
97,968;5,01936;50,87528;2,36695
98,06801;5,02216;50,88596;2,36949
98,16801;5,02492;50,89611;2,37203
98,26801;5,02764;50,90392;2,37462
98,368;5,03032;50,91165;2,37724
98,468;5,03296;50,91475;2,37971
98,56801;5,0356;50,91923;2,38225
98,66801;5,0382;50,92351;2,38471
98,76801;5,0408;50,92968;2,38717
98,868;5,04344;50,9359;2,38966
98,968;5,04608;50,94327;2,39214
99,06801;5,04868;50,95114;2,39466
99,16801;5,05136;50,95953;2,39711
99,26801;5,05404;50,96746;2,39956
99,368;5,0568;50,98052;2,40205
99,468;5,05952;50,98989;2,40458
99,56801;5,0622;50,99651;2,40711
99,66801;5,06476;51,00098;2,40967
99,76801;5,06732;51,0049;2,4121
99,868;5,06988;51,00949;2,41454
99,968;5,07244;51,01393;2,41692
100,06801;5,075;51,02138;2,41936
100,16801;5,07764;51,02868;2,42179
100,26801;5,08028;51,03887;2,42428
100,368;5,083;51,04921;2,42669
100,468;5,08572;51,0604;2,42917
100,56801;5,08844;51,07034;2,4317
100,66801;5,0912;51,08107;2,43416
100,76801;5,09388;51,08846;2,43663
100,868;5,09656;51,09605;2,43916
100,968;5,09916;51,09925;2,44165
101,06801;5,1018;51,104;2,44405
101,16801;5,10448;51,1116;2,44647
101,26801;5,10712;51,12024;2,44898
101,368;5,1098;51,12638;2,45142
101,468;5,11252;51,13436;2,45384
101,56801;5,11524;51,1457;2,4564
101,66801;5,11796;51,15517;2,45886
101,76801;5,12076;51,16459;2,46126
101,868;5,12352;51,17638;2,46379
101,968;5,12628;51,18399;2,46627
102,06801;5,12912;51,19196;2,46859
102,16801;5,13272;51,22308;2,4695
102,26801;5,13632;51,26335;2,47259
102,368;5,13956;51,27944;2,47565
102,468;5,14256;51,28124;2,47851
102,56801;5,1454;51,28013;2,48134
102,66801;5,14812;51,27319;2,48411
102,76801;5,15072;51,26882;2,48682
102,868;5,15324;51,26242;2,48945
102,968;5,15576;51,25948;2,4919
103,06801;5,15832;51,26125;2,49431
103,16801;5,16088;51,26445;2,49683
103,26801;5,16348;51,26839;2,49922
103,368;5,16608;51,27559;2,5017
103,468;5,16868;51,28161;2,50413
103,56801;5,17128;51,28704;2,50658
103,66801;5,17396;51,29594;2,509
103,76801;5,17664;51,30572;2,51144
103,868;5,17936;51,3164;2,5139
103,968;5,18208;51,32617;2,51644
104,06801;5,1848;51,33494;2,51895
104,16801;5,18756;51,34491;2,52145
104,26801;5,19028;51,35223;2,5239
104,368;5,19296;51,3602;2,52647
104,468;5,1956;51,36444;2,52903
104,56801;5,1982;51,36992;2,53146
104,66801;5,2008;51,37466;2,53398
104,76801;5,2034;51,3804;2,53638
104,868;5,20604;51,38891;2,53888
104,968;5,20868;51,39543;2,54133
105,06801;5,2114;51,40528;2,54381
105,16801;5,2142;51,41634;2,54626
105,26801;5,21696;51,4274;2,54884
105,368;5,21968;51,43683;2,55137
105,468;5,2224;51,44361;2,55394
105,56801;5,22504;51,44935;2,55647
105,66801;5,22768;51,45385;2,55897
105,76801;5,23028;51,45887;2,56139
105,868;5,23292;51,46384;2,56389
105,968;5,23556;51,47045;2,56635
106,06801;5,23816;51,47704;2,56888
106,16801;5,24076;51,48291;2,57132
106,26801;5,24344;51,49159;2,57371
106,368;5,24612;51,50225;2,57621
106,468;5,24884;51,51218;2,57871
106,56801;5,25152;51,52087;2,58126
106,66801;5,2542;51,52828;2,58378
106,76801;5,2568;51,5334;2,5863
106,868;5,25944;51,53909;2,58878
106,968;5,26208;51,54536;2,59119
107,06801;5,26472;51,55109;2,59372
107,16801;5,26736;51,55985;2,59621
107,26801;5,27;51,56556;2,59872
107,368;5,27268;51,56992;2,60113
107,468;5,27548;51,58334;2,60356
107,56801;5,27832;51,59745;2,60615
107,66801;5,28116;51,61013;2,60874
107,76801;5,284;51,61657;2,61132
107,868;5,2868;51,6291;2,61393
107,968;5,28948;51,63463;2,61655
108,06801;5,2922;51,63794;2,61905
108,16801;5,29484;51,6432;2,62159
108,26801;5,29748;51,64664;2,62407
108,368;5,30008;51,64974;2,62659
108,468;5,30268;51,65415;2,62908
108,56801;5,30532;51,65846;2,6315
